id,owner_id,card_number,issuing_bank_id,linked_account_id,card_type,card_expiry_date,card_cvc,card_pin,card_status,address_line_1,address_line_2,city,state,country,zip_code,phone,daily_limit,monthly_limit,card_holder_name
1,1,4233195020295804,3,1,DEBIT,2026-12-31,123,1234,ACTIVE,123 Main St,,Springfield,IL,USA,62701,555-1234,1000,10000,John Doe
2,1,4991052745041111,3,1,CREDIT,2025-11-30,234,2345,ACTIVE,123 Main St,,Springfield,IL,USA,62701,555-1234,2000,20000,John Doe
3,1,4525938528626463,1,1,DEBIT,2027-10-31,345,3456,ACTIVE,123 Main St,,Springfield,IL,USA,62701,555-1234,1000,10000,John Doe
4,2,4372785155370445,2,2,CREDIT,2026-09-30,456,4567,ACTIVE,456 Elm St,,Shelbyville,IL,USA,62565,555-5678,2000,20000,Jane Smith
5,2,4645096946142322,3,2,DEBIT,2025-08-31,567,5678,ACTIVE,456 Elm St,,Shelbyville,IL,USA,62565,555-5678,1000,10000,Jane Smith
6,3,4965826345636919,3,3,CREDIT,2027-07-31,678,6789,ACTIVE,789 Oak St,,Capital City,IL,USA,62702,555-6789,2000,20000,Bob Johnson
7,3,4287095756837865,3,3,DEBIT,2026-06-30,789,7890,ACTIVE,789 Oak St,,Capital City,IL,USA,62702,555-6789,1000,10000,Bob Johnson
8,4,4064225450531938,1,4,DEBIT,2025-05-31,890,8901,ACTIVE,101 Maple St,,Ogdenville,IL,USA,62703,555-7890,1000,10000,Alice Brown
9,4,4939136697457936,2,4,DEBIT,2027-04-30,901,9012,ACTIVE,101 Maple St,,Ogdenville,IL,USA,62703,555-7890,1000,10000,Alice Brown
10,5,4867598731026160,3,5,DEBIT,2026-03-31,12,123,ACTIVE,202 Birch St,,North Haverbrook,IL,USA,62704,555-8901,1000,10000,Charlie Davis
11,5,4387113947979737,1,5,DEBIT,2025-02-28,123,1234,ACTIVE,202 Birch St,,North Haverbrook,IL,USA,62704,555-8901,1000,10000,Charlie Davis
